Hours,CO2
0:00,2.420750258
0:30,2.320300353
1:00,2.419149784
1:30,1.675858403
2:00,1.869474932
2:30,1.902447157
3:00,1.959067061
3:30,1.5182769
4:00,1.905927569
4:30,1.911236688
5:00,2.277357958
5:30,3.215591259
6:00,3.549243492
6:30,2.6840875
7:00,2.487404894
7:30,1.027676429
8:00,-0.797574679
8:30,-1.082295844
9:00,-2.765927341
9:30,-4.220405407
10:00,-5.624379769
10:30,-5.914582556
11:00,-6.035457326
11:30,-6.755747148
12:00,-6.719121328
12:30,-6.676541878
13:00,-6.264508367
13:30,-6.647339417
14:00,-6.132732017
14:30,-5.98277258
15:00,-6.079787184
15:30,-6.174745921
16:00,-6.190819367
16:30,-5.645100154
17:00,-4.805766571
17:30,-5.040116475
18:00,-4.179761984
18:30,-3.303336529
19:00,-2.0484288
19:30,-0.443169738
20:00,0.754317887
20:30,1.394497878
21:00,2.1845356
21:30,2.060055703
22:00,2.194950672
22:30,2.472592712
23:00,2.420895846
23:30,2.370798828
